iter	Passed	Remaining
0	161	161714
1	166	82843
2	170	56719
3	174	43471
4	178	35568
5	182	30229
6	188	26781
7	192	23818
8	195	21484
9	198	19643
10	202	18227
11	207	17053
12	210	15987
13	215	15165
14	220	14451
15	223	13740
16	226	13112
17	230	12584
18	235	12173
19	239	11735
20	242	11317
21	246	10967
22	251	10674
23	254	10346
24	257	10044
25	264	9918
26	268	9670
27	272	9460
28	277	9298
29	282	9127
30	285	8923
31	288	8730
32	292	8568
33	296	8431
34	299	8271
35	303	8119
36	307	8003
37	312	7910
38	316	7786
39	319	7664
40	323	7572
41	327	7478
42	331	7373
43	334	7274
44	338	7184
45	344	7140
46	350	7098
47	355	7043
48	360	6987
49	363	6909
50	366	6825
51	371	6781
52	375	6711
53	379	6647
54	383	6584
55	389	6571
56	394	6526
57	397	6461
58	404	6449
59	408	6392
60	411	6334
61	414	6272
62	419	6240
63	424	6204
64	427	6147
65	431	6100
66	436	6073
67	440	6033
68	443	5983
69	446	5936
70	451	5903
71	454	5864
72	458	5820
73	462	5783
74	469	5786
75	473	5758
76	477	5722
77	483	5718
78	487	5683
79	491	5648
80	494	5615
81	499	5590
82	502	5557
83	506	5520
84	509	5484
85	514	5463
86	519	5446
87	522	5413
88	525	5383
89	530	5359
90	533	5327
91	536	5293
92	539	5263
93	543	5236
94	546	5204
95	550	5179
96	553	5149
97	556	5120
98	566	5157
99	586	5278
100	591	5260
101	598	5267
102	608	5297
103	613	5281
104	616	5253
105	620	5230
106	623	5207
107	629	5195
108	634	5182
109	649	5255
110	663	5316
111	668	5304
112	676	5308
113	684	5319
114	688	5299
115	692	5280
116	696	5253
117	699	5226
118	702	5203
119	707	5189
120	710	5164
121	713	5137
122	716	5111
123	720	5090
124	725	5076
125	729	5056
126	732	5033
127	735	5009
128	739	4994
129	743	4974
130	746	4953
131	750	4932
132	755	4924
133	760	4915
134	765	4903
135	769	4891
136	774	4881
137	779	4868
138	782	4849
139	787	4837
140	792	4828
141	796	4811
142	800	4794
143	804	4784
144	807	4764
145	811	4748
146	815	4732
147	820	4721
148	824	4709
149	828	4693
150	832	4681
151	837	4671
152	841	4660
153	845	4646
154	850	4634
155	853	4620
156	857	4603
157	861	4588
158	864	4574
159	869	4565
160	873	4552
161	878	4541
162	883	4535
163	887	4521
164	890	4505
165	893	4490
166	898	4482
167	902	4467
168	906	4457
169	910	4443
170	914	4434
171	918	4423
172	922	4409
173	925	4395
174	930	4384
175	934	4372
176	937	4359
177	941	4346
178	946	4340
179	950	4331
180	954	4318
181	960	4316
182	964	4305
183	968	4293
184	973	4288
185	978	4281
186	981	4269
187	986	4259
188	990	4251
189	995	4243
190	1000	4236
191	1003	4223
192	1008	4217
193	1014	4215
194	1018	4203
195	1022	4196
196	1027	4187
197	1030	4175
198	1034	4163
199	1039	4156
200	1044	4150
201	1048	4142
202	1051	4129
203	1055	4117
204	1058	4105
205	1063	4099
206	1069	4097
207	1075	4094
208	1078	4082
209	1082	4071
210	1086	4063
211	1091	4055
212	1094	4044
213	1098	4035
214	1103	4030
215	1108	4021
216	1111	4012
217	1114	3999
218	1123	4007
219	1127	3998
220	1132	3990
221	1134	3975
222	1138	3966
223	1143	3959
224	1148	3957
225	1152	3947
226	1156	3936
227	1159	3926
228	1164	3921
229	1169	3916
230	1176	3915
231	1183	3916
232	1187	3910
233	1192	3904
234	1196	3895
235	1201	3890
236	1205	3881
237	1210	3876
238	1214	3866
239	1218	3857
240	1222	3849
241	1226	3841
242	1233	3841
243	1236	3831
244	1240	3821
245	1244	3813
246	1248	3805
247	1252	3797
248	1255	3788
249	1259	3779
250	1263	3771
251	1268	3766
252	1275	3766
253	1280	3761
254	1284	3752
255	1287	3742
256	1292	3736
257	1297	3730
258	1300	3721
259	1305	3714
260	1309	3706
261	1313	3699
262	1317	3693
263	1322	3687
264	1326	3678
265	1331	3673
266	1334	3664
267	1339	3659
268	1343	3650
269	1347	3642
270	1351	3636
271	1356	3630
272	1359	3620
273	1363	3613
274	1367	3605
275	1372	3599
276	1375	3591
277	1379	3582
278	1383	3574
279	1387	3568
280	1391	3560
281	1395	3552
282	1401	3550
283	1404	3541
284	1408	3534
285	1412	3527
286	1417	3522
287	1422	3515
288	1425	3507
289	1429	3500
290	1433	3493
291	1437	3485
292	1441	3477
293	1445	3470
294	1449	3463
295	1453	3458
296	1457	3451
297	1463	3447
298	1467	3440
299	1471	3433
300	1475	3426
301	1480	3420
302	1484	3415
303	1488	3407
304	1491	3399
305	1497	3395
306	1501	3388
307	1504	3381
308	1509	3374
309	1513	3369
310	1517	3361
311	1521	3354
312	1525	3348
313	1530	3343
314	1533	3335
315	1537	3327
316	1541	3322
317	1547	3318
318	1549	3308
319	1553	3300
320	1558	3296
321	1561	3288
322	1565	3281
323	1569	3273
324	1573	3268
325	1578	3262
326	1581	3254
327	1584	3247
328	1590	3243
329	1594	3237
330	1597	3229
331	1601	3222
332	1607	3219
333	1610	3211
334	1613	3203
335	1617	3195
336	1623	3193
337	1627	3186
